6714 Sebert Ave, Cleveland, 44105 (5 requests)
Waste Cart Concerns, July 15, 2024, 01:12PM

8216 Rosewood Ave, Cleveland, Oh, 44105 (2 requests)
Waste Cart Concerns, July 12, 2024, 08:02PM
Waste Cart Concerns, July 12, 2024, 08:03PM

12509 Crennell Ave, Cleveland, Oh, 44105 (2 requests)
Vacant and Distressed Property, July 13, 2024, 02:51PM
Vacant Property Open to Entry, July 15, 2024, 02:43PM

15803 Delrey Ave, Cleveland, Oh, 44128 (2 requests)
Vacant Property Open to Entry, July 14, 2024, 12:54PM
Vacant Property Open to Entry, July 22, 2024, 03:58AM

12203 Benham Ave, Cleveland, Oh, 44105 (2 requests)
Dead Animal Pickup, July 15, 2024, 11:12AM
Dead Animal Pickup, July 16, 2024, 02:10PM

2989 E 65Th St, Cleveland, Oh, 44127 (2 requests)
Missed Refuse pick up, July 15, 2024, 11:26AM
Missed Refuse pick up, July 16, 2024, 02:13PM

3943 W 160Th St, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 15, 2024, 01:21PM
Waste Cart Concerns, July 15, 2024, 01:23PM

2038 W 100Th St, Cleveland, Oh, 44102 (2 requests)
Dead Animal Pickup, July 15, 2024, 02:19PM
General Exterior Maintenance/Fence/Outbuildings, July 15, 2024, 02:26PM

3048 St Clair Ave, Cleveland, Oh, 44114 (2 requests)
Vacant Property, July 15, 2024, 03:06PM
Vacant and Distressed Property, July 15, 2024, 03:08PM

6606 Charter Ave, Cleveland, Oh, 44127 (2 requests)
Waste Cart Concerns, July 15, 2024, 03:36PM
Waste Cart Concerns, July 15, 2024, 03:39PM

11021 Detroit Ave, Cleveland, Oh, 44102 (2 requests)
Cart Pick Up, July 15, 2024, 03:41PM
Tire Pick up, July 23, 2024, 12:49PM

1065 E 174Th St, Cleveland, Oh, 44119 (2 requests)
Cart Pick Up, July 15, 2024, 04:44PM
Waste Cart Concerns, July 15, 2024, 04:45PM

1797 W 54Th St, Cleveland, Oh, 44102 (2 requests)
No Permit, July 15, 2024, 05:20PM
General Exterior Maintenance/Fence/Outbuildings, July 15, 2024, 05:29PM

10325 Bernard Ave, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 15, 2024, 05:41PM
Waste Cart Concerns, July 15, 2024, 05:42PM

16812 Fairfax Ave, Cleveland, Oh, 44128 (2 requests)
Tree Service, July 15, 2024, 05:52PM
Tree Service, July 23, 2024, 06:09PM

3653 E 154Th St, Cleveland, Oh, 44120 (2 requests)
Vacant and Distressed Property, July 15, 2024, 06:24PM
Vacant Property Open to Entry, July 15, 2024, 06:26PM

10703 Grantwood Ave, Cleveland, Oh, 44108 (2 requests)
Vacant Property, July 15, 2024, 06:35PM
Vacant Property, July 15, 2024, 06:36PM

678 E 96Th St, Cleveland, Oh, 44108 (2 requests)
Waste Cart Concerns, July 15, 2024, 06:39PM
Waste Cart Concerns, July 15, 2024, 06:40PM

3603 E 81St St, Cleveland, Oh, 44105 (2 requests)
Waste Cart Concerns, July 15, 2024, 06:53PM
Waste Cart Concerns, July 15, 2024, 06:55PM

15503 Huntmere Ave, Cleveland, Oh, 44110 (2 requests)
Vacant Property, July 15, 2024, 07:33PM
Tree Service, July 15, 2024, 08:38PM

16318 S Lotus Dr, Cleveland, Oh, 44128 (2 requests)
Missed Refuse pick up, July 15, 2024, 08:36PM
Missed Refuse pick up, July 15, 2024, 10:37PM

15710 Holmes Ave, Cleveland, Oh, 44110 (2 requests)
Missed Refuse pick up, July 15, 2024, 11:49PM
Missed Refuse pick up, July 16, 2024, 08:13PM

6207 Hosmer Ave, Cleveland, Oh, 44105 (2 requests)
New Public Street Receptacle, July 16, 2024, 01:15AM
Waste Cart Concerns, July 16, 2024, 08:23PM

919 E 139Th St, Cleveland, Oh, 44110 (2 requests)
Vacant Property, July 16, 2024, 11:27AM
Illegal Dumping, July 17, 2024, 06:10PM

4125 W 158Th St, Cleveland, Oh, 44135 (2 requests)
Fallen or Hanging Branch, July 16, 2024, 01:55PM
Fallen or Hanging Branch, July 17, 2024, 02:07PM

4124 Trowbridge Ave, Cleveland, Oh, 44109 (2 requests)
Vacant Property, July 16, 2024, 01:56PM
Vacant Property, July 23, 2024, 08:35PM

1178 E 167Th St, Cleveland, Oh, 44110 (2 requests)
Vacant Property, July 16, 2024, 02:25PM
Tree Service, July 16, 2024, 02:40PM

2174 Fulton Rd, Cleveland, Oh, 44113 (2 requests)
Waste Cart Concerns, July 16, 2024, 04:05PM
Waste Cart Concerns, July 18, 2024, 10:02AM

12410 Marston Ave, Cleveland, Oh, 44105 (2 requests)
Cart Pick Up, July 16, 2024, 04:11PM
Waste Cart Concerns, July 16, 2024, 04:11PM

14107 Tuckahoe Ave, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 16, 2024, 04:33PM
Missing Recycling Welcome Packet, July 16, 2024, 04:39PM

12316 Gay Ave, Cleveland, Oh, 44105 (2 requests)
Illegal Dumping, July 16, 2024, 05:04PM
General Exterior Maintenance/Fence/Outbuildings, July 16, 2024, 05:07PM

15618 Margate Ave, Cleveland, Oh, 44135 (2 requests)
New Public Street Receptacle, July 16, 2024, 11:52PM
Waste Cart Concerns, July 22, 2024, 09:09PM

3280 E 135Th St, Cleveland, Oh, 44120 (2 requests)
Waste Cart Concerns, July 17, 2024, 01:17PM
Waste Cart Concerns, July 17, 2024, 01:18PM

14016 Glenside Rd, Cleveland, Oh, 44110 (2 requests)
Missed Refuse pick up, July 17, 2024, 02:14PM
Waste Cart Concerns, July 17, 2024, 02:19PM

13801 Caine Ave, Cleveland, Oh, 44105 (2 requests)
Vacant Property Open to Entry, July 17, 2024, 02:31PM
Vacant Property, July 17, 2024, 02:33PM

3320 W 97Th St, Cleveland, Oh, 44102 (2 requests)
Waste Cart Concerns, July 17, 2024, 02:58PM
Recycling Opt-in Program, July 17, 2024, 03:04PM

3744 W 36Th St, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, July 17, 2024, 03:08PM
Waste Cart Concerns, July 24, 2024, 07:05PM

2022 W 104Th St, Cleveland, Oh, 44102 (2 requests)
Vacant Property Open to Entry, July 17, 2024, 03:35PM
Vacant Property, July 17, 2024, 03:36PM

3274 W 128Th St, Cleveland, Oh, 44111 (2 requests)
Missed Refuse pick up, July 17, 2024, 05:08PM
Missed Refuse pick up, July 24, 2024, 05:23PM

4181 W 50Th St, Cleveland, Oh, 44144 (2 requests)
Waste Cart Concerns, July 17, 2024, 06:30PM
Missing Recycling Welcome Packet, July 17, 2024, 06:32PM

4615 Henritze Ave, Cleveland, Oh, 44109 (2 requests)
No Water/No Hot Water, July 17, 2024, 07:14PM
General Exterior Maintenance/Fence/Outbuildings, July 17, 2024, 07:17PM

7120 Clark Ave, Cleveland, Oh, 44102 (2 requests)
Waste Cart Concerns, July 17, 2024, 07:53PM
Waste Cart Concerns, July 17, 2024, 07:57PM

7122 Clark Ave, Cleveland, Oh, 44102 (2 requests)
Waste Cart Concerns, July 17, 2024, 07:54PM
General Exterior Maintenance/Fence/Outbuildings, July 17, 2024, 08:45PM

1381 W 83Rd St, Cleveland, Oh, 44102 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, July 17, 2024, 09:02PM
Vacant Property Open to Entry, July 17, 2024, 09:04PM

16322 Westview Ave, Cleveland, Oh, 44128 (2 requests)
Waste Cart Concerns, July 18, 2024, 09:56AM
Missed Refuse pick up, July 23, 2024, 12:32PM

4216 Buechner Ave, Cleveland, Oh, 44109 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, July 18, 2024, 12:46PM
Vacant Property, July 18, 2024, 12:46PM

2179 W 11Th St, Cleveland, Oh, 44113 (2 requests)
No Permit, July 18, 2024, 01:12PM
No Permit, July 22, 2024, 04:06PM

1882 E 66Th St, Cleveland, Oh, 44103 (2 requests)
Waste Cart Concerns, July 18, 2024, 02:13PM
Waste Cart Concerns, July 18, 2024, 02:14PM

3360 W 129Th St, Cleveland, Oh, 44111 (2 requests)
Missed Refuse pick up, July 18, 2024, 03:11PM
Missed Refuse pick up, July 18, 2024, 10:27PM

18807 Golf View Dr, Cleveland, Oh, 44135 (2 requests)
Tree Service, July 18, 2024, 05:54PM
Tree Service, July 18, 2024, 06:00PM

1934 Treadway Ave, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, July 18, 2024, 06:17PM
Missed Refuse pick up, July 18, 2024, 06:18PM

3383 E 140Th St, Cleveland, Oh, 44120 (2 requests)
Vacant Property, July 18, 2024, 06:44PM
Vacant Property, July 18, 2024, 06:44PM

2917 E 104Th St, Cleveland, Oh, 44104 (2 requests)
Dead Animal Pickup, July 18, 2024, 06:54PM
Cart Pick Up, July 18, 2024, 06:56PM

13701 Othello Ave, Cleveland, Oh, 44110 (2 requests)
Waste Cart Concerns, July 18, 2024, 07:36PM
Waste Cart Concerns, July 18, 2024, 07:37PM

3455 W 44Th St, Cleveland, Oh, 44109 (2 requests)
Vacant Property, July 18, 2024, 08:04PM
General Exterior Maintenance/Fence/Outbuildings, July 18, 2024, 08:08PM

3466 W 63Rd St, Cleveland, Oh, 44102 (2 requests)
Vacant Property Open to Entry, July 18, 2024, 08:14PM
General Exterior Maintenance/Fence/Outbuildings, July 18, 2024, 08:18PM

3901 E 188Th St, Cleveland, Oh, 44122 (2 requests)
Dead Animal Pickup, July 18, 2024, 10:31PM
Dead Animal Pickup, July 23, 2024, 08:22PM

2441 Thurman St, Cleveland, Oh, 44113 (2 requests)
Missing Recycling Welcome Packet, July 19, 2024, 01:04PM
Waste Cart Concerns, July 24, 2024, 03:15PM

728 E 93Rd St, Cleveland, Oh, 44108 (2 requests)
Waste Cart Concerns, July 19, 2024, 01:47PM
Waste Cart Concerns, July 19, 2024, 01:48PM

4361 E 142Nd St, Cleveland, Oh, 44128 (2 requests)
Waste Cart Concerns, July 19, 2024, 03:27PM
Waste Cart Concerns, July 19, 2024, 03:28PM

3226 W 56Th St, Cleveland, Oh, 44102 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, July 19, 2024, 04:24PM
Early Set Out-Carts Left Out After Collection, July 19, 2024, 04:25PM

3819 W 116Th St, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 19, 2024, 04:50PM
Waste Cart Concerns, July 19, 2024, 04:55PM

747 E 117Th St, Cleveland, Oh, 44108 (2 requests)
Waste Cart Concerns, July 19, 2024, 04:51PM
Waste Cart Concerns, July 19, 2024, 04:53PM

2487 Greenvale Rd, Cleveland, Oh, 44121 (2 requests)
General Exterior Maintenance/Fence/Outbuildings, July 19, 2024, 05:55PM
Vacant Property Open to Entry, July 19, 2024, 05:59PM

3243 E 55Th St, Cleveland, Oh, 44127 (2 requests)
Illegal Use of Property, July 19, 2024, 06:48PM
Vacant Property Open to Entry, July 19, 2024, 07:26PM

15510 Delrey Ave, Cleveland, Oh, 44128 (2 requests)
Vacant Property Open to Entry, July 19, 2024, 09:01PM
Vacant Property Open to Entry, July 19, 2024, 09:51PM

9524 Parkview Ave, Cleveland, Oh, 44104 (2 requests)
Plumbing Concern, July 21, 2024, 03:17PM
Waste Cart Concerns, July 25, 2024, 06:42AM

3519 E 104Th St, Cleveland, Oh, 44105 (2 requests)
Vacant Property Open to Entry, July 22, 2024, 12:57PM
Vacant and Distressed Property, July 22, 2024, 12:59PM

3605 E 153Rd St, Cleveland, Oh, 44120 (2 requests)
Waste Cart Concerns, July 22, 2024, 01:46PM
Cart Pick Up, July 22, 2024, 01:47PM

11218 Dale Ave, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 22, 2024, 02:18PM
Waste Cart Concerns, July 22, 2024, 02:19PM

1095 Addison Rd, Cleveland, Oh, 44103 (2 requests)
Vacant Property, July 22, 2024, 02:29PM
General Exterior Maintenance/Fence/Outbuildings, July 22, 2024, 02:31PM

4925 Mead Ave, Cleveland, Oh, 44127 (2 requests)
Vacant Property Open to Entry, July 22, 2024, 02:45PM
Vacant Property Open to Entry, July 23, 2024, 09:33PM

2326 E 89Th St, Cleveland, Oh, 44106 (2 requests)
Waste Cart Concerns, July 22, 2024, 03:02PM
Missing Recycling Welcome Packet, July 22, 2024, 03:04PM

1083 E 97Th St, Cleveland, Oh, 44108 (2 requests)
Waste Cart Concerns, July 22, 2024, 03:05PM
Waste Cart Concerns, July 22, 2024, 03:06PM

4350 Rocky River Dr, Cleveland, Oh, 44135 (2 requests)
Waste Cart Concerns, July 22, 2024, 03:09PM
Waste Cart Concerns, July 22, 2024, 03:10PM

4533 W 156Th St, Cleveland, Oh, 44135 (2 requests)
Waste Cart Concerns, July 22, 2024, 03:20PM
Waste Cart Concerns, July 22, 2024, 03:21PM

19403 Cyclone Dr, Cleveland, Oh, 44135 (2 requests)
Waste Cart Concerns, July 22, 2024, 03:53PM
Missing Recycling Welcome Packet, July 22, 2024, 03:54PM

4497 W 146Th St, Cleveland, Oh, 44135 (2 requests)
Waste Cart Concerns, July 22, 2024, 04:23PM
Missing Recycling Welcome Packet, July 22, 2024, 04:24PM

3612 Archwood Ave, Cleveland, Oh, 44109 (2 requests)
Vacant Property Open to Entry, July 22, 2024, 05:11PM
Vacant Property Open to Entry, July 24, 2024, 02:23PM

3637 E 146Th St, Cleveland, Oh, 44120 (2 requests)
Waste Cart Concerns, July 22, 2024, 05:35PM
Scheduled Bulk Pick up, July 22, 2024, 05:36PM

4607 E 175Th St, Cleveland, Oh, 44128 (2 requests)
Waste Cart Concerns, July 22, 2024, 06:53PM
Waste Cart Concerns, July 22, 2024, 06:54PM

1394 E 115Th St, Cleveland, Oh, 44106 (2 requests)
Waste Cart Concerns, July 22, 2024, 06:59PM
Waste Cart Concerns, July 22, 2024, 07:00PM

1837 W 52Nd St, Cleveland, Oh, 44102 (2 requests)
Waste Cart Concerns, July 22, 2024, 07:23PM
Waste Cart Concerns, July 22, 2024, 07:26PM

3573 W 120Th St, Cleveland, Oh, 44111 (2 requests)
Vacant Property, July 22, 2024, 07:59PM
General Exterior Maintenance/Fence/Outbuildings, July 22, 2024, 08:03PM

6515 Bridge Ave, Cleveland, Oh, 44102 (2 requests)
Waste Cart Concerns, July 22, 2024, 08:32PM
Recycling Opt-in Program, July 22, 2024, 08:51PM

15336 Lakeshore Blvd, Cleveland, Oh, 44110 (2 requests)
Missed Refuse pick up, July 23, 2024, 12:16PM
Missed Refuse pick up, July 23, 2024, 07:30PM

7812 New York Ave, Cleveland, Oh, 44105 (2 requests)
Waste Cart Concerns, July 23, 2024, 01:53PM
Waste Cart Concerns, July 23, 2024, 01:54PM

3046 W 110Th St, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 23, 2024, 01:53PM
Waste Cart Concerns, July 23, 2024, 01:56PM

9909 Mount Auburn Ave, Cleveland, Oh, 44104 (2 requests)
Vacant Property, July 23, 2024, 02:08PM
Vacant and Distressed Property, July 23, 2024, 02:09PM

13516 Leroy Ave, Cleveland, Oh, 44135 (2 requests)
Waste Cart Concerns, July 23, 2024, 03:37PM
Missing Recycling Welcome Packet, July 23, 2024, 03:37PM

9605 Thorn Ave, Cleveland, Oh, 44108 (2 requests)
Vacant Property, July 23, 2024, 03:55PM
Vacant and Distressed Property, July 23, 2024, 03:58PM

8919 Beckman Ave, Cleveland, Oh, 44104 (2 requests)
Vacant Property, July 23, 2024, 05:10PM
Tree Service, July 23, 2024, 05:10PM

3137 Sackett Ave, Cleveland, Oh, 44109 (2 requests)
Graffiti Removal, July 23, 2024, 05:09PM
Vacant Property, July 23, 2024, 05:13PM

3126 W 84Th St, Cleveland, Oh, 44102 (2 requests)
Waste Cart Concerns, July 23, 2024, 05:16PM
Missing Recycling Welcome Packet, July 23, 2024, 05:18PM

3709 Trowbridge Ave, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, July 23, 2024, 05:37PM
Waste Cart Concerns, July 23, 2024, 05:37PM

1639 E 93Rd St, Cleveland, Oh, 44106 (2 requests)
Vacant and Distressed Property, July 23, 2024, 06:14PM
Vacant Property, July 23, 2024, 06:24PM

3348 W 44Th St, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, July 23, 2024, 08:01PM
Missing Recycling Welcome Packet, July 23, 2024, 08:03PM

11014 Greenwich Ave, Cleveland, Oh, 44105 (2 requests)
Dead Animal Pickup, July 24, 2024, 10:59AM
Vacant Property, July 24, 2024, 11:01AM

9724 Denison Ave, Cleveland, Oh, 44102 (2 requests)
Missed Refuse pick up, July 24, 2024, 12:49PM
Waste Cart Concerns, July 24, 2024, 12:54PM

14422 Alger Rd, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 24, 2024, 12:58PM
Cart Pick Up, July 24, 2024, 01:04PM

11114 Woodland Ave, Cleveland, Oh, 44104 (2 requests)
Waste Cart Concerns, July 24, 2024, 01:12PM
Waste Cart Concerns, July 24, 2024, 01:13PM

18914 Harvard Ave, Cleveland, Oh, 44122 (2 requests)
Waste Cart Concerns, July 24, 2024, 01:57PM
Cart Pick Up, July 24, 2024, 01:58PM

11805 Euclid Ave, Cleveland, Oh, 44106 (2 requests)
Missed Refuse pick up, July 24, 2024, 02:22PM
Waste Cart Concerns, July 24, 2024, 02:59PM

10609 Almira Ave, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 24, 2024, 02:38PM
Missing Recycling Welcome Packet, July 24, 2024, 02:39PM

3682 W 130Th St, Cleveland, Oh, 44111 (2 requests)
Vacant Property Open to Entry, July 24, 2024, 02:40PM
Vacant Property, July 24, 2024, 02:47PM

4180 W 57Th St, Cleveland, Oh, 44144 (2 requests)
Vacant and Distressed Property, July 24, 2024, 02:53PM
Vacant Property, July 24, 2024, 02:59PM

1270 E 58Th St, Cleveland, Oh, 44103 (2 requests)
Vacant Property, July 24, 2024, 02:55PM
General Exterior Maintenance/Fence/Outbuildings, July 24, 2024, 03:00PM

10608 Dale Ave, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 24, 2024, 03:04PM
Waste Cart Concerns, July 24, 2024, 03:06PM

16306 Invermere Ave, Cleveland, Oh, 44128 (2 requests)
Fallen or Hanging Branch, July 24, 2024, 03:08PM
Fallen or Hanging Branch, July 25, 2024, 04:16PM

3346 W 97Th St, Cleveland, Oh, 44102 (2 requests)
Waste Cart Concerns, July 24, 2024, 03:17PM
Waste Cart Concerns, July 24, 2024, 03:18PM

3188 W 116Th St, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 24, 2024, 03:36PM
Missing Recycling Welcome Packet, July 24, 2024, 03:38PM

4066 E 175Th St, Cleveland, Oh, 44128 (2 requests)
Vacant Property, July 24, 2024, 05:47PM
Vacant and Distressed Property, July 24, 2024, 05:48PM

9724 Hilgert Dr, Cleveland, Oh, 44104 (2 requests)
Waste Cart Concerns, July 24, 2024, 06:59PM
Waste Cart Concerns, July 24, 2024, 07:00PM

11517 Whitmore Ave, Cleveland, Oh, 44108 (2 requests)
Parks Maintenance, July 24, 2024, 08:07PM
Fallen Trees, July 24, 2024, 08:12PM

13814 Lyric Ave, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 24, 2024, 08:47PM
Recycling Opt-in Program, July 24, 2024, 08:50PM

6605 Hoppensack Ave, Cleveland, Oh, 44127 (2 requests)
Vacant Property Open to Entry, July 24, 2024, 08:47PM
Cart Pick Up, July 24, 2024, 09:17PM

3732 W 33Rd St, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, July 25, 2024, 12:59PM
Waste Cart Concerns, July 25, 2024, 01:00PM

2608 Colburn Ave, Cleveland, Oh, 44109 (2 requests)
Waste Cart Concerns, July 25, 2024, 01:36PM
Cart Pick Up, July 25, 2024, 01:38PM

3341 E 113Th St, Cleveland, Oh, 44104 (2 requests)
Waste Cart Concerns, July 25, 2024, 02:00PM
Waste Cart Concerns, July 25, 2024, 02:02PM

6714 Lawn Ave, Cleveland, Oh, 44102 (2 requests)
Waste Cart Concerns, July 25, 2024, 02:27PM
Waste Cart Concerns, July 25, 2024, 02:28PM

7024 Morgan Ave, Cleveland, Oh, 44127 (2 requests)
Waste Cart Concerns, July 25, 2024, 03:17PM
Waste Cart Concerns, July 25, 2024, 03:18PM

10816 Flower Ave, Cleveland, Oh, 44111 (2 requests)
Waste Cart Concerns, July 25, 2024, 04:04PM
Waste Cart Concerns, July 25, 2024, 04:06PM

11008 Gay Ave, Cleveland, Oh, 44105 (2 requests)
Missed Refuse pick up, July 25, 2024, 04:15PM
Waste Cart Concerns, July 25, 2024, 04:16PM

13113 Benwood Ave, Cleveland, Oh, 44105 (2 requests)
Waste Cart Concerns, July 25, 2024, 04:25PM
Waste Cart Concerns, July 25, 2024, 04:26PM

539 E 115Th St, Cleveland, Oh, 44108 (2 requests)
Waste Cart Concerns, July 25, 2024, 04:27PM
Waste Cart Concerns, July 25, 2024, 04:28PM

